Activo,ÁREA,CAPA,Hipervíncu
1,3.115459106332676,OP,OP1290
2,3.224523204472426,OP,OP1301
3,3.115467439469469,OP,OP1102
4,4.567416890054462,OP,OP1183
5,1.371659541631645,OP,PRE036
6,1.604828548536017,OP,AUX0079
7,1.371659542421049,OP,OP1114
8,1.650845585072082,OP,CMT0085
9,1.73161514122523,OP,PRE0065
10,1.450089884255264,OP,OP1255
11,1.374036078843269,OP,OP114
12,3.648164142927732,OP,OP1103
13,3.648164142927732,OP,OP1162
14,3.648164142927732,OP,OP1156
15,3.648164142927732,OP,OP1219
16,3.648164142927732,OP,OP1251
17,4.384720213168643,OP,OP1141
18,18.510057920312704,OP,PVD
19,6.250149427115506,OP,U.M.
20,3.53854613702495,OP,OP1053
21,3.538546137311961,OP,OP1059
22,3.538546136286783,OP,OP1056
23,3.53854613777222,OP,AUX0089
24,3.53854613736971,OP,OP1057
25,26.38683378956144,Cromado,CR02B
26,26.38683378956144,Cromado,CR02A
27,26.38683378956144,Cromado,CR03B
28,26.38683378956144,Cromado,CR03A
29,71.08188981522497,Inyectadoras,ENGEL2900
30,14.126850778728802,Inyectadoras,I05027
31,14.243411854307402,Inyectadoras,I05019
32,14.123409480466972,Inyectadoras,I05013
33,14.563844494287142,Inyectadoras,I05032
34,13.975830448008086,Inyectadoras,I07024
35,14.287382977006667,Inyectadoras,I05028
36,14.721609879274753,Inyectadoras,I05020
37,34.159470522954976,Inyectadoras,I15009
38,34.159470522954976,Inyectadoras,I17003
39,34.159470522954976,Inyectadoras,I15004
40,34.159470522954976,Inyectadoras,I11003
41,34.159470522954976,Inyectadoras,I17004
42,34.159470522954976,Inyectadoras,I15008
43,34.159470522954976,Inyectadoras,I15007
44,25.894849857365564,Inyectadoras,I11014
45,25.894849857365564,Inyectadoras,I07015
46,25.894849857365564,Inyectadoras,I09012
47,25.894849857365564,Inyectadoras,I09010
48,25.894849857365564,Inyectadoras,I09008
49,25.894849857365564,Inyectadoras,I09004
50,16.572703909796914,Inyectadoras,I07033
51,25.894849857365564,Inyectadoras,I07053
52,25.894849857365564,Inyectadoras,I07023
53,25.894849857365564,Inyectadoras,I07012
54,25.894849857365564,Inyectadoras,I07052
55,25.894849857365564,Inyectadoras,I05029
56,25.894849857365564,Inyectadoras,I05016
57,25.8948498557057,Inyectadoras,I09017
58,25.8948498557057,Inyectadoras,I09017
59,29.951015850772887,Inyectadoras,I09017
60,29.951015850772887,Inyectadoras,I07068
61,29.951015850772887,Inyectadoras,I07086
62,29.951015850772887,Inyectadoras,I05025
63,29.951015850772887,Inyectadoras,I07029
64,29.951015850772887,Inyectadoras,I07016
65,29.951015850772887,Inyectadoras,I07061
